feature,detection_rate__all,detection_rate__B,detection_rate__SS,detection_rate__dQC,detection_rate__QC,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,detection_rate__biological,detection_rate__qc_like,detection_rate__blank,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-033,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,924.6276314779026,924.6807686357288,924.5813200631654,0.0267202128252625,1057.7246344641724,1064.7632179679465,1060.2593047973908,1055.5224966533283,1045.0483313759592,1.245241008611443
FT-034,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,924.6284568794596,924.682414112093,924.5817555901798,0.0263176047659261,1071.194488617538,1086.3274333241209,1073.7937312742429,1068.6907211707253,1064.7380309052537,1.2846760771846035
FT-037,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1025.6898265569414,1025.748006596175,1025.6372240551368,0.0299180645632153,1095.46453629439,1103.265474153602,1098.0912759786563,1092.8921077109414,1081.8746330427098,1.3060567861598344
FT-038,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1025.690862799387,1025.7477618544551,1025.6366460844254,0.030538553488754,1107.23462155222,1121.1202767189984,1109.9813621005935,1104.387069581245,1102.96307424481,1.4209852699776997
FT-039,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1024.6867091528734,1024.7462095090473,1024.6320318882358,0.0302468395928712,1095.258554693031,1102.7683739040208,1097.9305754275408,1092.8018718375124,1078.4275768114187,1.280644822824388
FT-040,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1024.6859401518484,1024.745883352035,1024.635571164931,0.0299810881909713,1107.6170160866384,1125.2454211495194,1110.1572639572094,1104.5491052697555,1102.7951743386006,1.4042236421118546
FT-041,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1025.1883020825835,1025.2470030177271,1025.1352405717655,0.0297741950913376,1095.323555128769,1102.8408436153272,1098.0563633672148,1092.842493768012,1078.72885869897,1.2868239953887035
FT-043,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1005.172041771252,1005.2308196005796,1005.1142487241556,0.029859711948434,1156.3855354906916,1177.111414619113,1158.8826604052406,1153.7486667864507,1140.2857042395556,1.3065927903911043
FT-044,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,923.1212556300736,923.1751342108996,923.074014873022,0.026964574266534,1057.6205174785268,1064.765986981599,1060.2868398891017,1054.9388995609593,1041.2142873846992,1.2744490931735233
FT-045,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,923.1220202532094,923.1748329305268,923.0750959305832,0.026666860202454,1071.5859281352352,1095.0634189274017,1074.300955170282,1068.7521554752243,1064.7794972295344,1.329186310317866
FT-046,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1004.1671268211272,1004.2261217749128,1004.1153691754812,0.0293680548858246,1156.358765017695,1178.0238250061675,1158.835709078045,1153.6774251130128,1138.0932935777616,1.2480085387190163
FT-047,0.9313725490196079,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,995.65692637966,995.7086397617136,995.610460153178,0.0270949224828062,1120.1782129636545,1126.083653767903,1122.388534209544,1117.8975231103082,1111.092205754033,1.1569512021216075
