task_name,feature_space,model_name,feature,n_selected,mean_coef,mean_abs_coef,positive_coef_fraction,n_folds,selection_frequency,sign_consistency
French_vs_LMU,main,linear_svm,FT-221,50,0.07219024340927019,0.07219024340927019,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-070,50,0.07051269671687606,0.07051269671687606,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-050,50,0.06983961504560016,0.06983961504560016,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-114,50,0.06966024790904586,0.06966024790904586,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-046,50,0.06738430088863895,0.06738430088863895,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-043,50,0.0670708027791503,0.0670708027791503,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-067,50,0.06460034387578663,0.06460034387578663,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-071,50,-0.06267427209382143,0.06267427209382143,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-123,50,-0.061341323184006875,0.061341323184006875,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-053,50,-0.060943478132389046,0.060943478132389046,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-065,50,-0.060503065575404975,0.060503065575404975,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-064,50,0.06046050973461496,0.06046050973461496,1.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-152,50,-0.055371391835716724,0.055371391835716724,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-127,50,-0.05322966046186348,0.05322966046186348,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-176,50,-0.05073245825844443,0.05073245825844443,0.0,50,1.0,1.0
French_vs_LMU,main,linear_svm,FT-049,50,-0.0481763691202345,0.0481763691202345,0.0,50,1.0,1.0
